S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
233,2009-12-24,2009,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,junction of mall road and Arbab Road-near PIA Building,Police_Rangers,High,Open,nan,Government Official,Shiite,4,5,24,25,1,"Lady Reading Hospital 
Peshawar"
234,2009-12-24,2009,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,Majlis in Shakrial-near darbad saein boota,Religious,Medium,Open,Shia Religious Gathering,Religious,Shiite,0,1,1,4,1,PIMS
235,2009-12-28,2009,Holiday,Ashura,Muzaffarabad,34.3597,73.4711,AJK,CMH Road-Muzaffarabad,Parks_Grounds,Medium,Open,Muharram Procession,Religious,Shiite,10,15,81,100,1,nan
236,2010-01-01,2010,Working Day,Weekend,Lakki marwat,32.6018,70.9148,KPK,Peshawarshah Hasankhel village ground,Parks_Grounds,Medium,Open,nan,Civilian,Shiite,88,100,37,100,1,Near local hospital
237,2010-01-06,2010,Working Day,Weekend,Sudhanoti,33.706,73.7242,AJK,Military Base in tarar khal town sudhanoti district,Military,High,Open,nan,Military,Shiite,0,4,11,12,1,CMH Rawala kot
238,2010-01-08,2010,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area,Religious,low,Open,Ansar-ul-Islam (AI) Shura,Religious,Shiite,0,8,0,11,1,nan
239,2010-01-08,2010,Working Day,Weekend,peshawar,34.0043,71.5448,KPK,Adezai village in Matni on the outskirts of Peshawar,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,0,0,6,1,nan
240,2010-01-16,2010,Working Day,Weekend,Poonch,33.8243,73.7949,AJK,Dothan village near rawlakot,Mobile,High,Open,nan,Police_Rangers,Shiite,0,1,1,2,1,CMH Rawala kot
241,2010-01-23,2010,Working Day,Weekend,Tank,32.226,70.3761,KPK,gomal Police & Rangers station,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,4,5,3,11,1,nan
242,2010-01-29,2010,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,High,Open,nan,Military,Shiite,16,17,26,47,1,District headquarter hospital Timra
243,2010-02-10,2010,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Mobile,High,Open,nan,Military,Shiite,17,22,6,11,1,1.Hayatabad Meical hospital
244,2010-02-11,2010,Working Day,Weekend,Bannu,32.9861,70.6042,KPK,Bannu Police & Rangers Lines 2-,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,15,25,30,2,1.District Headquarter Hospital Bannu  2.Combined Military Hospital
245,2010-02-18,2010,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,Medium,Open,Lashkar-e-Islam Commander was the target,Anti_Militants,Sunni,22,31,30,110,1,Mashte hospital
246,2010-02-20,2010,Working Day,Weekend,Mansehra,34.3333,73.2,KPK,Balakot Police & Rangers station,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,1,4,10,2,1.Manseehra District Headquarters Hospital
247,2010-02-22,2010,Working Day,Weekend,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Mobile,High,Open,attack on security forces vehicle,Military,Shiite,7,13,37,41,1,1.CMH Hospital 2.Seydo Hospital
248,2010-02-27,2010,Holiday,Eid Milad un-Nabi,Karak,33.1193,71.0951,KPK,Karak Police & Rangers Station,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,4,23,24,2,District Headquarter Hospital Karak
