S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
322,2011-07-21,2011,Working Day,Weekend,South waziristan,32.3202,69.8597,FATA,South waziristan,Mobile,Low,Open,nan,Foreigner,Shiite,0,0,0,2,1,Jandola hospital
323,2011-07-24,2011,Holiday,Weekend,South waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,High,Open,nan,Military,Shiite,0,1,0,7,1,nan
324,2011-08-06,2011,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,Fata,Danish Kol Bazaar Pandyali,Market,Low,Open,nan,Military,Shiite,0,1,0,0,1,nan
325,2011-08-11,2011,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,12,1,nan
326,2011-08-19,2011,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,Medium,Closed,nan,Civilian,Shiite,47,60,70,130,1,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital
327,2011-08-31,2011,Holiday,Eid-ul-Fitar,Quetta,30.2095,67.0182,Balochistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,Medium,Open,nan,religious,Shiite,11,13,12,25,1,city hospitals
328,2011-09-01,2011,Holiday,Eid-ul-Fitar,Lakki marwat,32.6018,70.9148,KPK,near a Police & Rangers station in Darra Pezu Town,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,2,14,25,1,nan
329,2011-09-07,2011,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,FC DIG's residence at Anscumb road,Military,High,Closed,nan,Military,Shiite,26,28,60,82,2,Civil hospital-CMH
330,2011-09-15,2011,Working Day,Weekend,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from Swatvalley,Parks_Grounds,Low,Open,nan,Civilian,Shiite,26,34,63,75,1,nan
331,2011-09-19,2011,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,8,4,7,1,nan
332,2011-10-28,2011,Working Day,Weekend,Nowshehra,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,0,1,nan
333,2011-11-07,2011,Working Day,Weekend,Swabi ,34.1335,72.4702,KPK,Malikabad area of Swabi,Government,High,Open,nan,Government Official,Shiite,0,3,0,9,0,nan
334,2011-11-16,2011,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Mobile,low,Open,nan,Police_Rangers,Shiite,5,7,0,1,1,Jinnah Postgraduate Medical Center
335,2011-11-18,2011,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar,Residence,low,Closed,nan,Military,Shiite,0,1,0,0,1,Jinnah Postgraduate Medical Center
336,2011-12-24,2011,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Tochi Scouts headquarters in Bannu,Military,High,Open,nan,Military,Shiite,4,6,18,19,1,CMH Bannu
337,2012-01-03,2012,Working Day,Weekend,Gujrat,32.5737,74.0786,Punjab,Gorali village-4 km from Gujrat,Parks_Grounds,Low,Open,nan,Civilian,Shiite,0,2,0,0,1,nan
338,2012-01-03,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,trade center on arbab road in university town,Market,Low,Closed,nan,Civilian,Shiite,0,2,19,28,1,Khyber teaching Hospital
339,2012-01-03,2012,Working Day,Weekend,Khyber Agency,34.0211,71.2874,FATA,landikotal town,Market,Low,open,nan,Civilian,Shiite,0,3,7,9,1,nan
340,2012-01-14,2012,Working Day,Weekend,D.G Khan,31.8238,70.9095,KPK,District Police & Rangers officer's office,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,4,8,7,10,3,District Headquarters Hospital
341,2012-01-30,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Pakha Ghullam area,Residence,Low,Open,nan,Anti_Militants,Shiite,3,4,7,8,1,Lady Reading Hospital
342,2012-02-17,2012,Working Day,Weekend,Kuram Agency ,32.9746,70.1456,FATA,Parachinar Outside Shia Mousque,Market,Low,Open,nan,Civilian,Shiite,21,28,0,36,1,Agency Headquarter Hospital
343,2012-02-16,2012,Working Day,Weekend,Upper Dir,35.1977,71.8749,FATA,Dir Town in Northwestren Districk of Upperdir near Afghan Boarder,Market,Low,Open,nan,Civilian,Shiite,1,1,3,3,1,nan
344,2012-02-24,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,C-Division Police & Rangers Station (Kotwali Police & Rangers Stataion),Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,4,0,6,3,nan
345,2012-03-03,2012,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Shabqadar town 35KM northeast of Peshawar,Mobile,High,Open,nan,Government Official,Shiite,0,1,0,6,1,Lady Reading Hospital (LRH)
346,2012-03-04,2012,Holiday,Weekend,D.G Khan,31.8238,70.9095,KPK,Police & Rangers patrol in main market area of D.G KhanKPK,Mobile,Low,Open,nan,Police_Rangers,Shiite,0,0,0,3,1,District Headquarters Hospital
347,2012-03-11,2012,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Badaber Area 15Km from Peshawer,Parks_Grounds,Low,Open,nan,Government Official,Shiite,14,15,30,33,1,Lady Reading Hospital (LRH)
348,2012-03-15,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Pishtakhara Square-Close to Bara-Khayber Aagency,Police_Rangers,Low,Open,nan,Police_Rangers,Shiite,1,1,2,5,1,Hayatabad Medical Hospital-Khyber Teaching Hospital
349,2012-03-23,2012,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,Akkakhel area of Bara in Khyber Agency,Religious,Low,Open,nan,Anti_Militants,Shiite,5,13,9,10,1,nan
350,2012-04-05,2012,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Garision Area of Malir,Mobile,Low,Open,nan,Police_Rangers,Shiite,4,7,12,14,1,nan
351,2012-05-04,2012,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,security checkpoint in the middle of Khar Bazaar,Market,Low,Open,nan,Police_Rangers,Shiite,24,26,40,75,1,Agency Headquarters Hospital (AHH)-Lady Reading Hospital (LRH)-
352,2012-06-12,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Bazidkhel Village-Badhaber Area,Mobile,Low,Open,nan,Anti_Militants,Shiite,2,3,0,5,1,Lady Reading Hospital (LRH)
353,2012-06-28,2012,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Hazar Ganji Area,Mobile,Low,Open,nan,Religious,Shiite,13,14,20,30,1,Civil hospital-Bolan Medical Complex-CMH
354,2012-07-16,2012,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Old City Police & Rangers Station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,2,7,2,8,1,District Hospital Bannu
355,2012-09-03,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Abdara Road,foreign,Low,Open,nan,Foreigner,Shiite,0,2,18,21,1,Khyber Teaching Hospital-American Club
356,2012-09-10,2012,Working Day,Weekend,Kuram Agency ,32.9746,70.1456,FATA,Kashmir Chowk-Parachinar,Market,Low,Open,nan,Civilian,Shiite,14,15,40,80,1,nan
357,2012-10-13,2012,Holiday,Weekend,Dara Adam khel,33.6854,71.5131,KPK,Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body,Market,Medium,Open,nan,Anti_Militants,Shiite,13,20,39,41,1,Lady Reading Hospital
358,2012-11-04,2012,Holiday,Weekend,Buner,34.3943,72.6151,KPK,Near District Headquarters Hospital in Daggar Area,Mobile,Low,Open,nan,Anti_Militants,Shiite,5,6,7,10,1,District Headquarters Hospital
359,2012-11-07,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Near Khan Razzaq Police & Rangers Station-Qissa Khawani Bazaar,Mobile,High,Open,nan,Police_Rangers,Shiite,6,8,28,37,1,Lady Reading Hospital
360,2012-11-08,2012,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Sachal Police & Rangers' Headquarters-North Nazimabad Block B Area,Military,High,Open,nan,Military,Shiite,0,3,18,23,1,Abbasi Shaheed Hospital-Sindh Police & Rangers Hospital-PNS Shifa Hospital
361,2012-11-19,2012,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,FATA,Ghaiba Khwar Area of Haleemzai Tehsil,Mobile,Low,Open,nan,Government Official,Shiite,0,0,3,4,1,Ghallanai Headquarter Hospital
362,2012-11-21,2012,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah,Religious,High,Open,Muharram Procession,Religious,Shiite,3,4,4,7,1,Qatar Hospital-Abbasi Shaheed Hospital
363,2012-11-21,2012,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road,Religious,High,Open,Muharram Procession,Religious,Shiite,12,20,25,40,1,DHQ-Combined Military-Benazir Bhutto Hospital
364,2012-11-25,2012,Holiday,Ashura,D.G Khan,31.8238,70.9095,KPK,Commissionary Bazaar-Choglia Area,Market,High,Open,Muharram Procession,religious,Shiite,5,6,70,80,1,District Headquarter Teaching Hospital-Combined Military Hospital
365,2012-11-29,2012,Working Day,Weekend,South Waziristan,32.3202,69.8597,FATA,Rustam Bazaar,Mobile,Low,Open,nan,Anti_Militants,Shiite,5,8,10,18,1,Tehsil Headquarter Hospital Wana
366,2012-12-04,2012,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Haved Police & Rangers Station Bannu,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,0,6,10,1,DHQ Hospital Bannu
367,2012-12-05,2012,Working Day,Weekend,South waziristan,32.3202,69.8597,FATA,Zaree Noor Camp-Angoor Adda Rd,Military,High,Open,nan,Military,Shiite,2,3,20,25,1,First Treatment Hospital
368,2012-12-22,2012,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Dhaki Nalbandi Area-Qissa Khwani Bazar,Residence,High,Closed,nan,Government Official,Shiite,0,9,17,20,1,Lady Reading Hospital
369,2013-01-10,2013,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road,Market,High,Closed,nan,Civilian,Shiite,51,93,116,121,2,Civil Hospital and the Combined Military Hospital-Quetta
370,2013-02-01,2013,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Masjid Faizullah and Masjid Purdil near Marketplace,Religious,High,Open,Possibley anti-taliban Sunni Council,Civilian,Sunni,24,27,40,50,1,DHQ-Kohat
371,2013-02-14,2013,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Security checkpost located in Tal area of Hangu,Military,High,Open,FC check post,Military,Shiite,7,0,8,23,1,nan
372,2013-02-14,2013,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Maryan Police & Rangers station in Frontier Region Bannu,Police_Rangers,High,Open,TTP avenged killing of their fighters in custody and bodies thrown in Miramshah,Police_Rangers,Shiite,0,0,1,0,4,nan
373,2013-02-16,2013,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Kirani Road near Hazara Town,Market,Medium,Open,nan,Civilian,Shiite,64,84,180,200,1,Civil Hospital and the Combined Military Hospital
374,2013-02-18,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Khyber Agency's Political Agent Office in Peshawar,Office Building,High,Closed,nan,Government Official,Shiite,5,0,7,0,2,Lady Reading Hospital
375,2013-03-18,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Judicial Complex loacated on Khyber Road,Office Building,High,open,Court Proceeding,Government Official,Shiite,2,4,22,47,2,Lady Reading Hospital
376,2013-03-23,2013,Holiday,Pakistan Day,North waziristan,32.9746,70.1456,FATA,Security Checkpost near Miramshah,Military,High,Open,Tochi Scouts Check Post Building,Military,Shiite,8,22,20,35,1,nan
377,2013-03-29,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Near security check post Saddar Cantt area of Peshawar,Market,High,Open,FC convoy,Military,Shiite,5,12,11,35,0,Lady Reading Hospital
378,2013-04-16,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,The bomb blast took place in Yakatoot in Kotwali Abid Khan,Market,High,Open,Election campain gathering of a Secular Party,Civilian,Shiite,16,18,49,60,1,Lady Reading Hospital
379,2013-04-16,2013,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Near Dirdhoni Check Post,Military,High,Open,Military Convoy,Military,Shiite,7,9,8,18,1,Military Hospital Miranshah
380,2013-04-20,2013,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Outside Headquarter Hospital,Office Building,High,Open,nan,Civilian,Shiite,4,4,4,4,1,Headquarter Hospital Bajour Agency
381,2013-04-23,2013,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Paramilitary check post near the Shiite neighbourhood,Residence,High,Open,Secratian,Civilian,Shiite,6,6,37,40,1,nan
382,2013-04-29,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Jehangir Abad neighbourhood on Arbab Road,Market,High,Open,nan,Civilian,Shiite,8,10,30,45,0,Khyber Teaching Hospital
383,2013-05-01,2013,Holiday,Labour Day,Shikarpur,28.0,68.6667,Sindh,Southern Shikarpur district of Sindh province-some 400 kilometres (250 miles) northeast of Karachi,Mobile,Low,Open,Parliamentary Candidate from National People's Party in Sindh,Civilian,Shiite,1,1,2,2,0,nan
384,2013-05-07,2013,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Near Market in the town of Doaba,Market,High,Open,KP 43 Election Candidate Syed Janan of JUIF,Civilian,Shiite,12,12,35,40,0,nan
385,2013-05-08,2013,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Domail Police & Rangers station Bannu,Police_Rangers,High,Open,Bannu Police & Rangers,Police_Rangers,Shiite,2,3,23,27,0,Government Hospital Bannu
386,2013-05-11,2013,Holiday,General Elections,Karachi,24.9918,66.9911,Sindh,Manghopir,Military,Medium,Open,nan,Military,Shiite,2,2,3,5,0,nan
387,2013-05-12,2013,Holiday,Weekend,Quetta,30.2095,67.0182,Balochistan,Residence IG Police & Rangers province of Balochistan,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,6,7,45,68,0,Civil Hospital
388,2013-05-24,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Outside Jamia Uloom al-Islamia Peshawar,Religious,High,Open,Afghan Religious Leader Haji Hidayatullah,religious,Shiite,3,3,2,2,0,nan
389,2013-06-03,2013,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Razmak town 20kms to the north of Miramshah,Military,High,Open,Security Checkpost,Military,Shiite,0,0,2,2,0,nan
390,2013-06-15,2013,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Parking of Sardar Bahadur Khan University-Quetta,Educational,Low,Open,nan,Civilian,Shiite,12,14,19,19,0,Bolan Medical Complex Quetta
391,2013-06-15,2013,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Bolan Medical Complex,Hospital,Low,Closed,Security officials visiting victims of suicide attack on student bus of Sarda Bahdur Khan Women Univrsity,Police_Rangers,Shiite,11,11,0,0,0,Bolan Medical Complex Quetta
392,2013-06-18,2013,Working Day,Weekend,Mardan,34.1982,72.0444,KPK,Zaragaranoo Kallay-Ittehad Colony Mardan,Parks_Grounds,Low,Open,Police & Rangers officials argue that Imran Khan Mohmand-a provincial lawmaker seems to have been the target,Civilian,Shiite,27,34,52,60,0,Tehsil Headquarters Takht Bhai-Mardan Medical Complex and Lady Reading Hospital in Peshawar
393,2013-06-21,2013,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Gulshan Colony,Religious,High,Closed,Sectarian strife,Civilian,Shiite,14,15,28,30,0,Lady Reading Hospital
394,2013-06-30,2013,Holiday,Weekend,Quetta,30.2095,67.0182,Balochistan,Hazara Town,Religious,High,Open,Sectarian strife,Civilian,Shiite,28,30,65,70,0,Bolan Medical Complex Quetta-CMH-Civil Hospital
395,2013-07-08,2013,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Doaba Bazaar,Market,High,Open,Tribal elder Malik Habibullah Khan was the target,Civilian,Shiite,6,8,10,10,0,nan
396,2013-07-25,2013,Working Day,Weekend,Sukkur,27.6833,68.8667,Sindh,Sukkur Barrage Colony,Police_Rangers,Low,Open,Coordinated assault on ISI sukkur office building,Military,Shiite,8,9,30,30,2,nan
397,2013-07-26,2013,Working Day,Weekend,Kuram Agency ,32.9746,70.1456,KPK,Parachinar Bazaar,Market,High,Open,nan,Civilian,Shiite,43,50,180,200,2,Parachinar Headquarters Hospital
398,2013-08-08,2013,Holiday,Eid Holidays,Quetta,30.2095,67.0182,Balochistan,Police & Rangers Headquarters Quetta,Police_Rangers,High,Open,Gathering on Funeral prayers of SHO City Mohibullah who was shot dead earlier in the day,Police_Rangers,Shiite,30,38,50,60,1,Civil Hospital and CMH Quetta
399,2013-09-22,2013,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,All Saints Church near Qissa Khawani bazaar in  Peshawar,Religious,High,Open,Two suicide attackers blew themselves up outside a church near Qissa Khawani bazaar,Civilian,Shiite,78,81,100,145,2,Lady Reading Hospital
400,2013-10-02,2013,Working Day,Weekend,Chaman,30.9222,66.4447,Balochistan,southwestern border crossin between Afghanistan and Pakistan,Office Building,High,Open,nan,Government Official,Shiite,6,8,10,16,1,nan
401,2013-10-03,2013,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Spin Tall region of Hangu,Residence,High,Open,A Compound of an anti-Taliban militia commander Mullah Nabi Hanafi was targetted by militants,Anti_Militants,Shiite,15,17,22,22,1,nan
402,2013-10-11,2013,Working Day,Weekend,South waziristan,32.3202,69.8597,FATA,Wana-main town of South waziristan,Military,High,Open,Military Convoy,Military,Shiite,2,2,2,2,0,nan
403,2013-10-16,2013,Holiday,Eid Holidays,D.G Khan,31.8238,70.9095,KPK,Tehsil Kulachi-50km away from D.G Khan,Residence,High,Open,KP Law Minister Israrullah Gandapur was targeted and killed in the attack,Civilian,Shiite,8,9,30,30,0,nan
404,2013-11-16,2013,Holiday,Weekend,Bannu,32.935,70.6688,KPK,Near River Kurram bridge,Mobile,High,Open,Targeted van of security forces,Military,Shiite,0,0,7,7,0,CMH Bannu
405,2013-11-19,2013,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Mir Ali town of Miramshah,Parks_Grounds,High,Open,It is said that Bannu TTP Militant commander Saifuddin was the target,Anti_Militants,Shiite,7,7,1,1,0,nan
406,2013-11-22,2013,Working Day,Weekend,Khyber Agency,34.0211,71.2874,KPK,Torkhan customs office in Landikotal,Office Building,Medium,Closed,nan,Government Official,Shiite,0,0,26,26,0,Hayatabad Medical Complex-Peshawar
407,2013-12-17,2013,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,Gracy line area near Airport,Religious,Medium,Open,Sectarian strife,Civilian,Shiite,3,3,14,0,0,Benazir Bhutto Hospital and District Headquarters Hospital
408,2013-12-18,2013,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Kharoji checkpoint-about three kilometres east of Miranshah,Military,High,Open,Targeted security checkpoint as a revenge for killing Hakimullah Mahsud,Military,Shiite,5,5,25,34,0,nan
409,2013-12-20,2013,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Pakhtoon Chowk close to Old Sabzi Mandi-Karachi,Market,Medium,Open,Inspector Shafiq Tanoli was targeted,Police_Rangers,Shiite,2,2,20,21,0,Jinnah Hospital
410,2014-01-01,2014,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Qambrani Road in Akhtarabad-on the outskirts of Quetta,Transport,High,Open,Sectarian strife,Civilian,Shiite,2,3,30,31,0,Bolan Medical Complex
411,2014-01-06,2014,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Shia-dominated Ibrahimzai area of Hangu district,Educational,High,Open,Sectarian strife,Civilian,Shiite,2,2,2,2,0,nan
412,2014-01-09,2014,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Near Essa Nagri at the Lyari Expressway,Mobile,Low,Open,Superintendent of Police & Rangers (SP) Crime Investigation Department (CID) Chaudhry Aslam was the TTP target,Police_Rangers,Shiite,3,3,7,11,0,Agha Khan University Hospital
413,2014-01-20,2014,Working Day,Weekend,Rawalpindi,33.6058,73.0437,Punjab,R.A Bazaar,Market,High,Open,TTP claimed this attack as ‘payback’ for a deadly military raid on the Lal Masjid (Red Mosque) in Rawalpindi in 2007.,Military,Shiite,13,13,15,15,0,nan
414,2014-01-23,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Kohatroad,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,6,0,8,0,nan
415,2014-01-29,2014,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,North Nazimabad Police & Rangers headquarters,Military,High,Open,Police & Rangers targeted by TTP,Military,Shiite,3,3,0,1,0,Abbasi Shaheed Hospital
416,2014-02-04,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Kocha Risaldar area of Peshawar,Hotel,Medium,Closed,Sectarian strife,Civilian,Shiite,9,9,25,50,0,Lady Reading Hospital
417,2014-02-07,2014,Working Day,Weekend,Khanewal,30.2999,71.9308,Punjab,nan,Mobile,Low,Open,Search operation of Security forces,Police_Rangers,Shiite,0,0,5,5,0,nan
418,2014-02-10,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Essa Khel Garhi area of Peshawar,Residence,Low,Open,Search operation of Security forces,Civilian,Shiite,4,4,3,3,0,Lady Reading Hospital
419,2014-02-13,2014,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Razzaqabad Police & Rangers training college in Karachi's Shah Latif Town,Police_Rangers,High,Open,TTP revenge,Police_Rangers,Shiite,11,13,36,47,0,Jinnah Hospital
420,2014-02-24,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Iranian consulate in University Town,Mobile,High,Open,Sectarian strife,Military,Shiite,2,3,8,10,0,Lady Reading Hospital
421,2014-03-03,2014,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,District court in Islamabadsector F-8,Office Building,Medium,Open,Judge with Laal masjid case,Government Official,Shiite,11,11,24,29,0,Pakistan Institute of Medical Sciences
422,2014-03-14,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Sarband Area on the outskirts of city,Police_Rangers,High,Open,Police & Rangers patrol,Police_Rangers,Shiite,8,11,32,45,0,Lady Reading Hospital
423,2014-04-24,2014,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Near old vegetable market,Market,High,Open,Police & Rangers Inspector Ishfaq Tanoli was the target of the blast,Police_Rangers,Shiite,2,4,2,15,0,nan
424,2014-05-11,2014,Holiday,Weekend,Peshawar,34.0043,71.5448,KPK,Inside a mosque in Shahi Bagh area near Tirah IDPs registration center,Religious,High,Closed,IDPs of Tirah Valley,Civilian,Shiite,4,5,9,11,0,Lady Reading Hospital
425,2014-06-04,2014,Working Day,Weekend,Fateh Jang,33.5689,72.6378,Punjab,At a railway crossing at the junction of Fateh Jang and Rawalpindi,Mobile,Low,Open,Security forces vehicle,Military,Shiite,5,5,5,5,0,DHQ Fateh Jang
426,2014-06-08,2014,Holiday,Weekend,Taftan,28.28,62.35,Balochistan,Hotel in Taftan near the Pakistan-Iran border,Hotel,High,Closed,Shia pilgrims,Civilian,Shiite,23,30,7,16,0,CMH Quetta
427,2014-06-09,2014,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Jinnah Airport-Airport Road Karachi,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,28,0,24,0,nan
428,2014-06-19,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Residence of an anti-Taliban peace militia in Matan Adezai area of Peshawar,Residence,Medium,Closed,Farman Ullah-the leader of anti-militants lashkar,Civilian,Shiite,1,2,5,5,0,Lady Reading Hospital
429,2014-06-24,2014,Working Day,Weekend,North waziristan,32.9746,70.1456,FATA,Near a military checkpost in Spinwam village in Shawal valley,Hospital,High,Open,Operation Zarb-e-Azab,Military,Shiite,3,3,1,1,0,nan
430,2014-09-24,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,nan,Mobile,Medium,open,the target of the bombing appeared to be Brigadier Khalid Javed-the second most senior officer in the Frontier Corps force,Military,Shiite,4,5,18,29,0,Lady Reading Hospital-Combined Military Hospital
431,2014-10-04,2014,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Near a girls high school in Hazara Town,Educational,High,Open,Hazara ethnic shitte group,Civilian,Shiite,5,5,12,12,0,Bolan Medical Complex Hospital-Combined Military Hospital (CMH)
432,2014-10-15,2014,Working Day,Weekend,Tirah Valley,33.8679,70.51364,FATA,Pir Mela Area of Tirah Valley in Khyber Agency,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,7,0,5,0,nan
433,2014-10-23,2014,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,nan,Parks_Grounds,Medium,open,Jamiat Ulema-e-Islam-Fazl (JUI-F) chief Fazlur Rehman had a narrow escape as a suicide bomber detonated explosives near his vehicle outside a political rally in Quetta,Civilian,Shiite,2,3,15,20,0,nan
434,2014-11-02,2014,Holiday,Weekend,Wagah,31.6047,74.5729,Punjab,Pak-India Border Crossing on Grand Trunk Road,Military,High,open,nan,Civilian,Shiite,45,55,70,120,0,General Hospital Lahore-
435,2014-12-16,2014,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Army Public School,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,148,0,132,0,nan
436,2014-12-28,2014,Working Day,Weekend,Zhob,31.35,69.45,Balochistan,Ismailzai,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,0,0,nan
437,2015-01-30,2015,Working Day,Weekend,Shikarpur,28.0,68.6667,Sindh,Imambargah,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,60,62,0,39,0,nan
438,2015-02-13,2015,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Imambargah,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,21,0,60,0,nan
439,2015-02-17,2015,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Near Police & Rangers Line,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,5,9,0,0,0,nan
440,2015-02-18,2015,Working Day,Weekend,Rawalpindi,33.6,73.0333,Punjab,Qasre-sina Imambargah-kurri road,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,5,0,6,0,nan
441,2015-03-15,2015,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Outside Church,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,17,70,72,0,nan
442,2015-03-20,2015,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Roadside Qalandria Chowk North Nazimabad,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,2,3,0,0,0,nan
443,2015-05-06,2015,Working Day,Weekend,Kuram Agency ,32.9746,70.1456,FATA,outside a high-school football ground in Alizai area of Lower Kuram Agency,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,2,3,0,3,0,Ali Zai Hospital
